evaluation_source,system,sample_id,episode_return
NeoRL dataset trajectories,Original Behavior,343,-282496.125
NeoRL dataset trajectories,Original Behavior,344,-282691.0625
NeoRL dataset trajectories,Original Behavior,345,-282818.78125
NeoRL dataset trajectories,Original Behavior,346,-283600.25
NeoRL dataset trajectories,Original Behavior,347,-282004.1875
NeoRL dataset trajectories,Original Behavior,348,-282393.9375
NeoRL dataset trajectories,Original Behavior,349,-282968.0
NeoRL dataset trajectories,Original Behavior,350,-284306.28125
NeoRL dataset trajectories,Original Behavior,351,-283200.875
NeoRL dataset trajectories,Original Behavior,352,-282818.28125
NeoRL dataset trajectories,Original Behavior,353,-281934.03125
NeoRL dataset trajectories,Original Behavior,354,-283805.6875
NeoRL dataset trajectories,Original Behavior,355,-283500.5625
NeoRL dataset trajectories,Original Behavior,356,-282114.28125
NeoRL dataset trajectories,Original Behavior,357,-282847.9375
NeoRL dataset trajectories,Original Behavior,358,-283776.625
NeoRL dataset trajectories,Original Behavior,359,-283037.40625
NeoRL dataset trajectories,Original Behavior,360,-283713.6875
NeoRL dataset trajectories,Original Behavior,361,-282942.84375
NeoRL dataset trajectories,Original Behavior,362,-283087.90625
NeoRL dataset trajectories,Original Behavior,363,-282519.25
NeoRL dataset trajectories,Original Behavior,364,-283969.1875
NeoRL dataset trajectories,Original Behavior,365,-282433.75
NeoRL dataset trajectories,Original Behavior,366,-290020.125
NeoRL dataset trajectories,Original Behavior,367,-283459.0
NeoRL dataset trajectories,Original Behavior,368,-282410.78125
NeoRL dataset trajectories,Original Behavior,369,-282552.25
NeoRL dataset trajectories,Original Behavior,370,-283054.375
NeoRL dataset trajectories,Original Behavior,371,-282337.0
NeoRL dataset trajectories,Original Behavior,372,-282961.0
NeoRL dataset trajectories,Original Behavior,373,-283065.46875
NeoRL dataset trajectories,Original Behavior,374,-282958.9375
NeoRL dataset trajectories,Original Behavior,375,-280983.5625
NeoRL dataset trajectories,Original Behavior,376,-283253.625
NeoRL dataset trajectories,Original Behavior,377,-282165.5
NeoRL dataset trajectories,Original Behavior,378,-283778.84375
NeoRL dataset trajectories,Original Behavior,379,-283423.5625
NeoRL dataset trajectories,Original Behavior,380,-282798.5
NeoRL dataset trajectories,Original Behavior,381,-283131.84375
NeoRL dataset trajectories,Original Behavior,382,-278728.78125
NeoRL dataset trajectories,Original Behavior,383,-282716.5
NeoRL dataset trajectories,Original Behavior,384,-283590.21875
NeoRL dataset trajectories,Original Behavior,385,-282566.75
NeoRL dataset trajectories,Original Behavior,386,-282760.03125
NeoRL dataset trajectories,Original Behavior,387,-282480.875
NeoRL dataset trajectories,Original Behavior,388,-278357.5
NeoRL dataset trajectories,Original Behavior,389,-281116.0625
NeoRL dataset trajectories,Original Behavior,390,-282352.34375
NeoRL dataset trajectories,Original Behavior,391,-283612.28125
NeoRL dataset trajectories,Original Behavior,392,-283446.8125
NeoRL dataset trajectories,Original Behavior,393,-283385.90625
NeoRL dataset trajectories,Original Behavior,394,-282611.03125
NeoRL dataset trajectories,Original Behavior,395,-280953.6875
NeoRL dataset trajectories,Original Behavior,396,-282840.1875
NeoRL dataset trajectories,Original Behavior,397,-282906.40625
NeoRL dataset trajectories,Original Behavior,398,-282452.4375
NeoRL dataset trajectories,Original Behavior,399,-282340.0625
NeoRL dataset trajectories,Original Behavior,400,-282656.5
NeoRL dataset trajectories,Original Behavior,401,-283207.125
NeoRL dataset trajectories,Original Behavior,402,-283379.375
NeoRL dataset trajectories,Original Behavior,403,-282101.5625
NeoRL dataset trajectories,Original Behavior,404,-283271.03125
NeoRL dataset trajectories,Original Behavior,405,-281290.9375
NeoRL dataset trajectories,Original Behavior,406,-282955.84375
NeoRL dataset trajectories,Original Behavior,407,-283738.75
NeoRL dataset trajectories,Original Behavior,408,-282480.8125
NeoRL dataset trajectories,Original Behavior,409,-282609.875
NeoRL dataset trajectories,Original Behavior,410,-284096.4375
NeoRL dataset trajectories,Original Behavior,411,-283084.96875
NeoRL dataset trajectories,Original Behavior,412,-282677.25
NeoRL dataset trajectories,Original Behavior,413,-283343.28125
NeoRL dataset trajectories,Original Behavior,414,-281947.5625
NeoRL dataset trajectories,Original Behavior,415,-282165.3125
NeoRL dataset trajectories,Original Behavior,416,-283703.78125
NeoRL dataset trajectories,Original Behavior,417,-283249.9375
NeoRL dataset trajectories,Original Behavior,418,-282998.53125
NeoRL dataset trajectories,Original Behavior,419,-282586.0625
NeoRL dataset trajectories,Original Behavior,420,-283730.03125
NeoRL dataset trajectories,Original Behavior,421,-282903.3125
NeoRL dataset trajectories,Original Behavior,422,-283184.1875
NeoRL dataset trajectories,Original Behavior,423,-282929.96875
NeoRL dataset trajectories,Original Behavior,424,-283119.21875
NeoRL dataset trajectories,Original Behavior,425,-281936.4375
NeoRL dataset trajectories,Original Behavior,426,-282727.1875
NeoRL dataset trajectories,Original Behavior,427,-282708.8125
NeoRL dataset trajectories,Original Behavior,428,-284921.125
NeoRL dataset trajectories,Original Behavior,429,-285160.5
NeoRL dataset trajectories,Original Behavior,430,-282368.53125
NeoRL dataset trajectories,Original Behavior,431,-284565.9375
NeoRL dataset trajectories,Original Behavior,432,-282753.46875
NeoRL dataset trajectories,Original Behavior,433,-282583.0
NeoRL dataset trajectories,Original Behavior,434,-282009.25
NeoRL dataset trajectories,Original Behavior,435,-283185.1875
NeoRL dataset trajectories,Original Behavior,436,-282774.6875
NeoRL dataset trajectories,Original Behavior,437,-283675.9375
NeoRL dataset trajectories,Original Behavior,438,-282582.0
NeoRL dataset trajectories,Original Behavior,439,-282728.46875
NeoRL dataset trajectories,Original Behavior,440,-282739.0
NeoRL dataset trajectories,Original Behavior,441,-282884.1875
NeoRL dataset trajectories,Original Behavior,442,-284019.9375
NeoRL dataset trajectories,Original Behavior,443,-282891.96875
NeoRL dataset trajectories,Original Behavior,444,-284859.90625
NeoRL dataset trajectories,Original Behavior,445,-282827.4375
NeoRL dataset trajectories,Original Behavior,446,-282483.25
NeoRL dataset trajectories,Original Behavior,447,-282358.90625
NeoRL dataset trajectories,Original Behavior,448,-283624.6875
NeoRL dataset trajectories,Original Behavior,449,-283444.59375
NeoRL dataset trajectories,Original Behavior,450,-282165.09375
NeoRL dataset trajectories,Original Behavior,451,-282612.53125
NeoRL dataset trajectories,Original Behavior,452,-281457.28125
NeoRL dataset trajectories,Original Behavior,453,-283556.5625
NeoRL dataset trajectories,Original Behavior,454,-280878.875
NeoRL dataset trajectories,Original Behavior,455,-282956.21875
NeoRL dataset trajectories,Original Behavior,456,-282597.25
NeoRL dataset trajectories,Original Behavior,457,-282374.6875
NeoRL dataset trajectories,Original Behavior,458,-284616.25
NeoRL dataset trajectories,Original Behavior,459,-282942.4375
NeoRL dataset trajectories,Original Behavior,460,-282294.5
NeoRL dataset trajectories,Original Behavior,461,-292498.34375
NeoRL dataset trajectories,Original Behavior,462,-282871.71875
NeoRL dataset trajectories,Original Behavior,463,-283978.25
NeoRL dataset trajectories,Original Behavior,464,-283119.21875
NeoRL dataset trajectories,Original Behavior,465,-281936.4375
NeoRL dataset trajectories,Original Behavior,466,-282727.1875
NeoRL dataset trajectories,Original Behavior,467,-282911.3125
NeoRL dataset trajectories,Original Behavior,468,-282819.09375
NeoRL dataset trajectories,Original Behavior,469,-283049.8125
NeoRL dataset trajectories,Original Behavior,470,-282368.53125
NeoRL dataset trajectories,Original Behavior,471,-284565.9375
NeoRL dataset trajectories,Original Behavior,472,-282669.375
NeoRL dataset trajectories,Original Behavior,473,-282583.0
NeoRL dataset trajectories,Original Behavior,474,-282009.25
NeoRL dataset trajectories,Original Behavior,475,-282737.0
NeoRL dataset trajectories,Original Behavior,476,-282774.6875
NeoRL dataset trajectories,Original Behavior,477,-283675.9375
NeoRL dataset trajectories,Original Behavior,478,-282462.65625
NeoRL dataset trajectories,Original Behavior,479,-280814.25
NeoRL dataset trajectories,Original Behavior,480,-282739.0
NeoRL dataset trajectories,Original Behavior,481,-282884.1875
NeoRL dataset trajectories,Original Behavior,482,-282739.09375
NeoRL dataset trajectories,Original Behavior,483,-282351.3125
NeoRL dataset trajectories,Original Behavior,484,-284108.5
